symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
MMM,2012-11-30,87.9400,91.9700,86.7400,90.9500,65.0725,58270800,0.5900
MMM,2012-10-31,92.9000,95.4600,87.4100,87.6000,62.2630,68655700,0.0000
MMM,2012-09-28,92.0300,94.1000,90.4600,92.4200,65.6889,65053500,0.0000
MMM,2012-08-31,91.6500,94.3000,89.2300,92.6000,65.8168,48767200,0.5900
MMM,2012-07-31,89.2900,92.0800,85.3380,91.2300,64.4329,65037800,0.0000
MMM,2012-06-29,83.0500,89.6000,81.9850,89.6000,63.2817,65465700,0.0000
MMM,2012-05-31,89.1300,89.9500,82.9500,84.4100,59.6162,59884200,0.5900
MMM,2012-04-30,88.8600,89.7500,84.4400,89.3600,62.6789,50973586,0.0000
MMM,2012-03-30,87.7200,90.0000,84.8300,89.2100,62.5737,60428600,0.0000
MMM,2012-02-29,87.5200,88.4600,86.6900,87.6000,61.4444,56589900,0.5900
MMM,2012-01-31,83.7600,87.9900,82.7000,86.7100,60.4105,70287500,0.0000
MMM,2011-12-30,81.2500,82.8000,77.5100,81.7300,56.9410,79927400,0.0000
MMM,2011-11-30,77.8900,83.1000,75.4900,81.0400,56.4602,94894200,0.5500
MMM,2011-10-31,71.1300,82.4000,68.6300,79.0200,54.6666,113482500,0.0000
MMM,2011-09-30,83.0200,83.9450,71.7100,71.7900,49.6648,116304100,0.0000
MMM,2011-08-31,87.9800,88.1700,76.5000,82.9800,57.4062,150664200,0.5500
MMM,2011-07-29,94.8300,98.1900,86.6000,87.1400,59.8772,86582100,0.0000
MMM,2011-06-30,94.3308,95.0600,90.1900,94.8500,65.1750,67513900,0.0000
MMM,2011-05-31,97.5800,97.9500,91.3800,94.3800,64.8520,66189800,0.5500
MMM,2011-04-29,93.5300,97.5000,90.5800,97.2100,66.4078,64783900,0.0000
MMM,2011-03-31,92.1900,94.1600,86.9100,93.5000,63.8734,80777700,0.0000
MMM,2011-02-28,88.0200,93.6500,87.4400,92.2300,63.0058,66069700,0.5500
MMM,2011-01-31,86.7500,90.5000,85.6300,87.9200,59.7058,70774300,0.0000
MMM,2010-12-31,85.4200,87.8200,83.2300,86.3000,58.6057,77138400,0.0000
MMM,2010-11-30,84.5700,87.8700,83.0000,83.9800,57.0302,85344700,0.5250
MMM,2010-10-29,87.3800,91.4900,83.8000,84.2200,56.8377,82038100,0.0000
MMM,2010-09-30,79.5100,88.0000,79.2900,86.7100,58.5182,64059700,0.0000
MMM,2010-08-31,86.8000,88.3800,78.4000,78.5500,53.0112,74721100,0.5250
MMM,2010-07-30,79.0600,87.4800,77.0400,85.5400,57.3683,89556700,0.0000
MMM,2010-06-30,78.7200,83.0000,72.7200,78.9900,52.9755,114407500,0.0000
