symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
A,2007-01-31,34.9900,35.4800,31.8700,32.0000,20.8764,46089400,0.0000
A,2006-12-29,31.9700,35.6900,31.6800,34.8500,22.7357,47362600,0.0000
A,2006-11-30,33.5500,35.1500,31.7100,31.8400,20.7720,74111700,0.0000
A,2006-10-31,32.5000,35.8100,32.0500,35.6000,23.2250,50905200,0.0000
A,2006-09-29,32.1600,33.4020,30.3100,32.6900,21.3266,55598300,0.0000
A,2006-08-31,28.3200,32.3300,26.9600,32.1600,20.9808,53617800,0.0000
A,2006-07-31,31.7400,32.0000,27.4700,28.4400,18.5539,60429800,0.0000
A,2006-06-30,34.7000,35.6100,29.8400,31.5600,20.5894,71029800,0.0000
A,2006-05-31,38.5500,39.4500,33.4800,34.8900,22.7618,67262100,0.0000
A,2006-04-28,37.9000,39.5400,36.1100,38.4200,25.0647,42379500,0.0000
A,2006-03-31,36.1000,38.1400,35.7500,37.5500,24.4972,59893400,0.0000
A,2006-02-28,33.8000,36.7400,33.5200,36.0000,23.4860,59461700,0.0000
A,2006-01-31,33.4000,35.2500,32.8151,33.9100,22.1225,54075600,0.0000
A,2005-12-30,35.6600,36.1000,33.0900,33.2900,21.7180,107817900,0.0000
A,2005-11-30,32.0100,35.8100,31.9000,35.6600,23.2641,76404500,0.0000
A,2005-10-31,32.8300,33.3000,29.9700,32.0100,20.8829,59232500,0.0000
A,2005-09-30,31.9100,34.4500,31.8800,32.7500,21.3657,78593100,0.0000
A,2005-08-31,26.2300,32.2200,25.1800,32.1600,20.9808,95651200,0.0000
A,2005-07-29,23.2000,26.6300,23.1300,26.2400,17.1187,40613300,0.0000
A,2005-06-30,24.0100,25.0500,22.9500,23.0200,15.0180,38431800,0.0000
A,2005-05-31,20.7500,24.1500,20.7200,24.0100,15.6638,48276200,0.0000
A,2005-04-29,22.4000,22.5300,20.1100,20.7500,13.5370,54565900,0.0000
A,2005-03-31,24.0500,24.9900,21.7600,22.2000,14.4830,55682900,0.0000
A,2005-02-28,22.0100,24.5300,21.8500,24.0000,15.6573,51309100,0.0000
A,2005-01-31,24.1000,24.1800,21.4300,22.1100,14.4243,50620400,0.0000
A,2004-12-31,23.0300,24.8000,21.1800,24.1000,15.7225,39154600,0.0000
A,2004-11-30,24.9500,25.9000,21.9000,22.8900,14.9332,66364700,0.0000
A,2004-10-29,21.7000,25.3068,21.6300,25.0600,16.3488,60545900,0.0000
A,2004-09-30,20.4300,23.6000,20.1400,21.5700,14.0720,52931700,0.0000
A,2004-08-31,23.8200,24.1600,19.5100,20.5000,13.3739,66425500,0.0000
A,2004-07-30,29.1200,29.1500,22.6300,23.8100,15.5334,58943900,0.0000
A,2004-06-30,25.4500,29.6800,25.0500,29.2800,19.1019,64034900,0.0000
A,2004-05-28,27.0500,27.6900,23.8000,25.7000,16.7664,78831400,0.0000
A,2004-04-30,31.6300,32.7000,26.9100,27.0100,17.6210,50198500,0.0000
A,2004-03-31,34.1400,35.0000,28.8000,31.6300,20.6350,76035300,0.0000
A,2004-02-27,36.9500,37.6200,33.2000,34.1900,22.3051,62356700,0.0000
A,2004-01-30,29.2500,38.8000,28.7800,36.8600,24.0470,93438300,0.0000
A,2003-12-31,28.4400,29.4200,26.2920,29.2400,19.0758,48360400,0.0000
A,2003-11-28,24.9900,29.3500,24.9700,28.2800,18.4495,51873400,0.0000
A,2003-10-31,22.1500,25.3100,21.8400,24.9200,16.2575,41759900,0.0000
A,2003-09-30,24.4000,26.4800,22.1000,22.1100,14.4243,52277200,0.0000
A,2003-08-29,21.7300,25.3000,20.3100,24.3200,15.8661,41007600,0.0000
A,2003-07-31,19.4600,22.6400,19.3000,21.7300,14.1764,54591500,0.0000
A,2003-06-30,19.0000,19.9500,16.6000,19.5500,12.7542,46371200,0.0000
A,2003-05-30,16.0200,18.3300,15.4800,18.1300,11.8278,48586500,0.0000
A,2003-04-30,13.1800,16.4000,13.1500,16.0200,10.4513,37917700,0.0000
A,2003-03-31,13.4000,15.0000,12.1100,13.1500,8.5789,40406300,0.0000
A,2003-02-28,16.4800,16.8200,11.3000,13.2000,8.6115,73242000,0.0000
A,2003-01-31,18.2200,20.3000,15.8200,16.4800,10.7513,48482800,0.0000
A,2002-12-31,19.7500,20.1500,16.3500,17.9600,11.7169,43079000,0.0000
A,2002-11-29,13.6600,19.6500,13.1900,19.4100,12.6628,59182800,0.0000
A,2002-10-31,13.2500,14.2200,10.5000,13.7500,8.9703,65266900,0.0000
A,2002-09-30,13.3300,16.0800,12.3500,13.0600,8.5202,61847200,0.0000
A,2002-08-30,18.5200,18.8800,13.3300,13.4300,8.7616,60147200,0.0000
A,2002-07-31,23.4500,24.4700,16.0000,18.8800,12.3171,59923400,0.0000
A,2002-06-28,26.4900,26.5500,22.4000,23.6500,15.4290,49672400,0.0000
A,2002-05-31,30.0000,31.2500,25.4500,26.3700,17.2035,51988100,0.0000
A,2002-04-30,36.8000,36.9500,29.3900,30.0500,19.6043,63938500,0.0000
A,2002-03-28,31.4500,38.0000,31.4000,34.9600,22.8075,61726800,0.0000
A,2002-02-28,30.2200,32.0900,24.8300,31.1500,20.3219,44620200,0.0000
A,2002-01-31,28.5100,33.3000,26.9200,30.3500,19.8000,45625000,0.0000
A,2001-12-31,27.7000,30.8700,26.9000,28.5100,18.5996,48822900,0.0000
A,2001-11-30,22.1200,27.5900,22.0600,27.2700,17.7906,73904000,0.0000
A,2001-10-31,19.1500,24.7900,18.7200,22.2700,14.5287,38725900,0.0000
A,2001-09-28,26.3500,26.9500,18.0000,19.5500,12.7542,33454000,0.0000
A,2001-08-31,29.5000,32.7000,24.3000,26.5000,17.2883,38683600,0.0000
A,2001-07-31,32.5000,33.5000,26.2000,28.6100,18.6648,34680900,0.0000
A,2001-06-29,34.5000,36.4500,27.2500,32.5000,21.2026,46586800,0.0000
A,2001-05-31,37.9000,41.1800,32.2500,33.5400,21.8811,47883700,0.0000
A,2001-04-30,32.2500,41.0000,25.0000,39.0100,25.4496,46792200,0.0000
A,2001-03-30,35.9000,42.3800,29.6000,30.7300,20.0479,63259500,0.0000
A,2001-02-28,53.4000,55.0000,35.5500,36.0000,23.4860,58088200,0.0000
